assessmentId,internalTaxonId,scientificName,redlistCategory,yearPublished,assessmentDate,populationTrend,systems,realm,scopes
1424721,17602,Plecotus teneriffae,Vulnerable,2016,2016-04-25 00:00:00 UTC,Decreasing,Terrestrial,Palearctic,"Global, Europe & Mediterranean"
1436487,176251,Celestus scansorius,Endangered,2019,2012-05-08 00:00:00 UTC,Decreasing,Terrestrial,Neotropical,Global
1437185,176285,Arthroleptis nguruensis,Vulnerable,2012,2010-11-22 00:00:00 UTC,Stable,Terrestrial,Afrotropical,Global
1438907,176325,Achalinus jinggangensis,Critically Endangered,2014,2011-08-31 00:00:00 UTC,Decreasing,Terrestrial,Indomalayan,Global
1443222,17666,Pleurobema curtum,Critically Endangered,2012,2012-03-05 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Nearctic,Global
1443931,17671,Pleurobema taitianum,Endangered,2012,2012-03-30 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Nearctic,Global
1447123,17679,Pleurobema decisum,Endangered,2012,2012-03-05 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Nearctic,Global
1450114,17685,Pleurobema hanleyianum,Critically Endangered,2012,2012-03-30 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Nearctic,Global
1452398,17690,Pleurobema pyriforme,Endangered,2012,2012-03-12 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Nearctic,Global
1453947,17692,Pleurobema rubellum,Critically Endangered,2012,2012-04-01 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Nearctic,Global
1459743,17699,Pleurocera corpulenta,Critically Endangered,2012,2012-06-07 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Nearctic,Global
1462005,17701,Pleurocera foremani,Endangered,2012,2012-03-27 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Nearctic,Global
1485231,177425,Omoadiphas texiguatensis,Critically Endangered,2013,2012-05-08 00:00:00 UTC,Decreasing,Terrestrial,Neotropical,Global
1487908,177486,Micrurus ruatanus,Critically Endangered,2013,2012-05-08 00:00:00 UTC,Decreasing,Terrestrial,Neotropical,Global
1488437,177488,Naja siamensis,Vulnerable,2012,2011-08-31 00:00:00 UTC,Decreasing,Terrestrial,Indomalayan,Global
1491874,177540,Ophiophagus hannah,Vulnerable,2012,2011-09-01 00:00:00 UTC,Decreasing,Terrestrial,Indomalayan|Palearctic,Global
1494264,17762,Poblana alchichica,Critically Endangered,2019,2018-12-03 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Neotropical,Global
1494296,17763,Poblana ferdebueni,Critically Endangered,2019,2018-05-03 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Neotropical,Global
1494618,17765,Poblana squamata,Critically Endangered,2019,2018-05-03 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Neotropical,Global
1527142,178217,Emoia adspersa,Endangered,2013,2011-09-12 00:00:00 UTC,Decreasing,Terrestrial,Oceanian,Global
1528580,17823,Podocnemis lewyana,Critically Endangered,2016,2015-07-01 00:00:00 UTC,Decreasing,Terrestrial|Freshwater (=Inland waters),Neotropical,Global
1535415,178469,Emoia boettgeri,Endangered,2013,2011-09-12 00:00:00 UTC,Decreasing,Terrestrial,Australasian,Global
1540242,178635,Emoia aneityumensis,Endangered,2013,2011-09-13 00:00:00 UTC,Decreasing,Terrestrial,Australasian,Global
1604460,180238,Stichopus herrmanni,Vulnerable,2013,2010-05-18 00:00:00 UTC,Decreasing,Marine,Afrotropical|Neotropical,Global
1606648,180257,Holothuria scabra,Endangered,2013,2010-05-18 00:00:00 UTC,Decreasing,Marine,,Global
1607822,180265,Actinopyga miliaris,Vulnerable,2013,2010-05-15 00:00:00 UTC,Decreasing,Marine,Afrotropical|Neotropical,Global
1609567,180275,Holothuria lessoni,Endangered,2013,2010-05-18 00:00:00 UTC,Decreasing,Marine,,Global
1616879,180337,Actinopyga mauritiana,Vulnerable,2013,2010-05-15 00:00:00 UTC,Decreasing,Marine,Afrotropical|Neotropical,Global
1621102,180368,Apostichopus parvimensis,Vulnerable,2013,2010-05-18 00:00:00 UTC,Stable,Marine,,Global
1621878,180373,Isostichopus fuscus,Endangered,2013,2010-05-18 00:00:00 UTC,Decreasing,Marine,,Global
1629389,180424,Apostichopus japonicus,Endangered,2013,2010-05-19 00:00:00 UTC,Decreasing,Marine,,Global
1636021,180481,Thelenota ananas,Endangered,2013,2010-05-18 00:00:00 UTC,Decreasing,Marine,Afrotropical|Neotropical,Global
