assessmentId,internalTaxonId,scientificName,redlistCategory,yearPublished,assessmentDate,populationTrend,systems
1114496,166137,Carassius cuvieri,Endangered,2019,2017-12-08 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
1117791,166184,Anguilla japonica,Endangered,2014,2013-05-30 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)|Marine
1138020,166584,Channa orientalis,Vulnerable,2019,2019-08-06 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
1274356,169367,Vieja hartwegi,Endangered,2019,2017-10-23 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
1274613,169372,Allotoca diazi,Critically Endangered,2019,2018-04-17 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
1275786,169387,Chirostoma promelas,Endangered,2019,2018-10-01 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
1276157,169391,Chirostoma attenuatum,Endangered,2019,2018-04-09 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
1276460,169395,Zoogoneticus tequila,Endangered,2019,2018-04-13 00:00:00 UTC,Increasing,Freshwater (=Inland waters)
1280470,169893,Oligodon meyerinkii,Endangered,2012,2011-08-31 00:00:00 UTC,Decreasing,Terrestrial
1281221,169975,Palinurus elephas,Vulnerable,2014,2013-09-26 00:00:00 UTC,Decreasing,Marine
1287308,170173,Acanthopagrus vagus,Vulnerable,2014,2009-12-04 00:00:00 UTC,Decreasing,Marine
1288745,170183,Chrysoblephus cristiceps,Critically Endangered,2014,2009-12-02 00:00:00 UTC,Decreasing,Marine
1288897,170184,Polysteganus praeorbitalis,Vulnerable,2014,2008-12-02 00:00:00 UTC,Decreasing,Marine
1292034,170199,Acanthopagrus sivicolus,Vulnerable,2014,2009-12-04 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)|Marine
1292756,170204,Cymatoceps nasutus,Vulnerable,2014,2009-11-15 00:00:00 UTC,Decreasing,Marine
1293194,170206,Polysteganus undulosus,Critically Endangered,2014,2009-12-01 00:00:00 UTC,Increasing,Marine
1296869,170225,Rhabdosargus globiceps,Vulnerable,2014,2009-11-15 00:00:00 UTC,Decreasing,Marine
1300995,170247,Petrus rupestris,Endangered,2014,2009-12-03 00:00:00 UTC,Decreasing,Marine
1302981,170256,Chrysoblephus gibbiceps,Endangered,2014,2009-12-02 00:00:00 UTC,Decreasing,Marine
