internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName
112214780,Tarphius relictus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,ZOPHERIDAE,Tarphius,relictus
112214889,Tarphius furtadoi,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,ZOPHERIDAE,Tarphius,furtadoi
112214981,Tarphius gabrielae,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,ZOPHERIDAE,Tarphius,gabrielae
112215110,Tarphius floresensis,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,ZOPHERIDAE,Tarphius,floresensis
112215339,Tarphius rufonodulosus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,ZOPHERIDAE,Tarphius,rufonodulosus
112215669,Tarphius serranoi,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,ZOPHERIDAE,Tarphius,serranoi
112215914,Tarphius pomboi,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,ZOPHERIDAE,Tarphius,pomboi
112216190,Tarphius azoricus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,ZOPHERIDAE,Tarphius,azoricus
112216642,Tarphius depressus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,ZOPHERIDAE,Tarphius,depressus
112216738,Tarphius wollastoni,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,ZOPHERIDAE,Tarphius,wollastoni
112217627,Tarphius acuminatus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,ZOPHERIDAE,Tarphius,acuminatus
178554,Gekko badenii,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,GEKKONIDAE,Gekko,badenii
22679038,Arborophila orientalis,ANIMALIA,CHORDATA,GALLIFORMES,AVES,PHASIANIDAE,Arborophila,orientalis
22679012,Perdicula manipurensis,ANIMALIA,CHORDATA,GALLIFORMES,AVES,PHASIANIDAE,Perdicula,manipurensis
22679929,Branta sandvicensis,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Branta,sandvicensis
22680199,Anas wyvilliana,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Anas,wyvilliana
22724459,Carpococcyx viridis,ANIMALIA,CHORDATA,CUCULIFORMES,AVES,CUCULIDAE,Carpococcyx,viridis
103889265,Thryophilus sernai,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,TROGLODYTIDAE,Thryophilus,sernai
22679312,Catreus wallichii,ANIMALIA,CHORDATA,GALLIFORMES,AVES,PHASIANIDAE,Catreus,wallichii
22679163,Tragopan blythii,ANIMALIA,CHORDATA,GALLIFORMES,AVES,PHASIANIDAE,Tragopan,blythii
22679147,Tragopan melanocephalus,ANIMALIA,CHORDATA,GALLIFORMES,AVES,PHASIANIDAE,Tragopan,melanocephalus
9402,Gopherus flavomarginatus,ANIMALIA,CHORDATA,TESTUDINES,REPTILIA,TESTUDINIDAE,Gopherus,flavomarginatus
112686503,Oedipina kasios,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Oedipina,kasios
112688840,Gastrotheca oresbios,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,HEMIPHRACTIDAE,Gastrotheca,oresbios
55416,Dryophytes bocourti,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,HYLIDAE,Dryophytes,bocourti
55670,Dryophytes suweonensis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,HYLIDAE,Dryophytes,suweonensis
4037,Catopuma badia,ANIMALIA,CHORDATA,CARNIVORA,MAMMALIA,FELIDAE,Catopuma,badia
22731595,Amazona diadema,ANIMALIA,CHORDATA,PSITTACIFORMES,AVES,PSITTACIDAE,Amazona,diadema
67599909,Neisopsallus lutosus,ANIMALIA,ARTHROPODA,HEMIPTERA,INSECTA,MIRIDAE,Neisopsallus,lutosus
113551876,Galloisiana kosuensis,ANIMALIA,ARTHROPODA,GRYLLOBLATTODEA,INSECTA,GRYLLOBLATTIDAE,Galloisiana,kosuensis
113770902,Nothophryne baylissi,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,PYXICEPHALIDAE,Nothophryne,baylissi
58658,Pulchrana mangyanum,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,RANIDAE,Pulchrana,mangyanum
113874173,Dixonius kaweesaki,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,GEKKONIDAE,Dixonius,kaweesaki
48101669,Leptobrachella firthi,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MEGOPHRYIDAE,Leptobrachella,firthi
114107105,Ansonia teneritas,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Ansonia,teneritas
91149898,Anodonta nuttalliana,ANIMALIA,MOLLUSCA,UNIONOIDA,BIVALVIA,UNIONIDAE,Anodonta,nuttalliana
114139483,Pristimantis leopardus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,CRAUGASTORIDAE,Pristimantis,leopardus
173073,Gonidea angulata,ANIMALIA,MOLLUSCA,UNIONOIDA,BIVALVIA,UNIONIDAE,Gonidea,angulata
58271,Fejervarya greenii,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,DICROGLOSSIDAE,Fejervarya,greenii
22824,Ursus thibetanus,ANIMALIA,CHORDATA,CARNIVORA,MAMMALIA,URSIDAE,Ursus,thibetanus
164563,Darevskia rostombekowi,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,LACERTIDAE,Darevskia,rostombekowi
22990,Vipera kaznakovi,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,VIPERIDAE,Vipera,kaznakovi
23001,Vipera dinniki,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,VIPERIDAE,Vipera,dinniki
164679,Vipera eriwanensis,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,VIPERIDAE,Vipera,eriwanensis
164734,Vipera magnifica,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,VIPERIDAE,Vipera,magnifica
164756,Vipera orlovi,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,VIPERIDAE,Vipera,orlovi
11117,Darevskia clarkorum,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,LACERTIDAE,Darevskia,clarkorum
11120,Darevskia alpina,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,LACERTIDAE,Darevskia,alpina
164583,Eremias pleskei,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,LACERTIDAE,Eremias,pleskei
164722,Darevskia dryada,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,LACERTIDAE,Darevskia,dryada
14367,Natrix megalocephala,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,NATRICIDAE,Natrix,megalocephala
136005,Bolitoglossa tica,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Bolitoglossa,tica
164776,Darevskia uzzelli,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,LACERTIDAE,Darevskia,uzzelli
164657,Vipera ebneri,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,VIPERIDAE,Vipera,ebneri
59203,Bolitoglossa salvinii,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Bolitoglossa,salvinii
136080,Leptodactylus peritoaktites,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,LEPTODACTYLIDAE,Leptodactylus,peritoaktites
114639398,Acheilognathus cyanostigma,ANIMALIA,CHORDATA,CYPRINIFORMES,ACTINOPTERYGII,CYPRINIDAE,Acheilognathus,cyanostigma
114639882,Acheilognathus typus,ANIMALIA,CHORDATA,CYPRINIFORMES,ACTINOPTERYGII,CYPRINIDAE,Acheilognathus,typus
135858,Platymantis paengi,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,CERATOBATRACHIDAE,Platymantis,paengi
114823717,Eviota ocellifer,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,GOBIIDAE,Eviota,ocellifer
169610,Acheilognathus melanogaster,ANIMALIA,CHORDATA,CYPRINIFORMES,ACTINOPTERYGII,CYPRINIDAE,Acheilognathus,melanogaster
114826015,Ischikauia steenackeri,ANIMALIA,CHORDATA,CYPRINIFORMES,ACTINOPTERYGII,CYPRINIDAE,Ischikauia,steenackeri
114826113,Cobitis shikokuensis,ANIMALIA,CHORDATA,CYPRINIFORMES,ACTINOPTERYGII,COBITIDAE,Cobitis,shikokuensis
