internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
168163,Nesokaliella intermedia,ANIMALIA,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,GASTRODONTIDAE,Nesokaliella,intermedia,,,,,"Gerlach, 2001",This genus has not been formally assigned to a family; it has been tentatively placed in the family Gastrodontidae.
168164,Nesokaliella minuta,ANIMALIA,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,GASTRODONTIDAE,Nesokaliella,minuta,,,,,"Gerlach, 1998",This genus has not been formally assigned to a family; it has been tentatively placed in the family Gastrodontidae.
168170,Kaliella aldabra,ANIMALIA,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,HELICARIONIDAE,Kaliella,aldabra,,,,,"Gerlach, 2009",This is an undescribed species restricted to Aldabra atoll; its generic placement is uncertain.
168175,Alycaeus balingensis,ANIMALIA,MOLLUSCA,ARCHITAENIOGLOSSA,GASTROPODA,CYCLOPHORIDAE,Alycaeus,balingensis,,,,,"Tomlin, 1948",
168177,Hypselostoma elephas,ANIMALIA,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,VERTIGINIDAE,Hypselostoma,elephas,,,,,"van Benthem-Jutting, 1950","<span style=""font-style: italic;""><br/></span>"
168178,Hypselostoma perigyra,ANIMALIA,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,VERTIGINIDAE,Hypselostoma,perigyra,,,,,"van Benthem-Jutting, 1950",
168179,Opisthostoma michaelis,ANIMALIA,MOLLUSCA,ARCHITAENIOGLOSSA,GASTROPODA,DIPLOMMATINIDAE,Opisthostoma,michaelis,,,,,"van Benthem-Jutting, 1952",
168185,Gyliotrachela luctans,ANIMALIA,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,PUPILLIDAE,Gyliotrachela,luctans,,,,,"van Benthem-Jutting, 1950",
168186,Hypselostoma megaphonum,ANIMALIA,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,VERTIGINIDAE,Hypselostoma,megaphonum,,,,,"van Benthem-Jutting, 1950",
168189,Plectostoma senex,ANIMALIA,MOLLUSCA,ARCHITAENIOGLOSSA,GASTROPODA,DIPLOMMATINIDAE,Plectostoma,senex,,,,,"(van Benthem-Jutting, 1952)",
168194,Samoana bellula,ANIMALIA,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,PARTULIDAE,Samoana,bellula,,,,,Hartman,
